Phylum,Classe,Ordine,Famiglia,Sottofamiglia,Genere,Autore e anno genere,Sottogenere,Autore e anno sottogenere,Specie,Autore e anno specie,Sottospecie,Autore e anno sottospecie,Fauna Europaea (nome),WORMS (AphiaID),End,Alien,N,S,Si,Sa,1,2,3,4,5,6,7,8,9,Ao,Pi,Lo,VT,V,FVG,Li,ER,To,Ma,Um,La,Abr,Mo,Cp,Pu,Bas,Cal,RSM,CV,CT,Cor,M,Categorie Uccelli,Corotipo,Note tassonomiche / Taxonomic notes,Note distribuzione / Distribution notes
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Chrysanthia,"W. L. E. Schmidt, 1844",,,geniculata,"W. L. E. Schmidt, 1846",geniculata,"W. L. E. Schmidt, 1846",Chrysanthia geniculata subsp. geniculata,,,,y,y,,,,,,,,,,,,,y,y,y,y,y,y,y,y,y,,y,y,,y,,,,,,y,,,,1.05,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Chrysanthia,"W. L. E. Schmidt, 1844",,,viridissima,"(Linnaeus, 1758)",,,Chrysanthia viridissima,,,,y,y,y,,,,,,,,,,,,y,y,y,y,,y,y,y,y,y,y,y,,,,y,y,,,y,,,,1.10,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Nacerdes,"Dejean, 1834",Nacerdes,"Dejean, 1834",melanura,"(Linnaeus, 1758)",,,Nacerdes (Nacerdes) melanura,,,,y,y,y,y,,,,,,,,,,,y,y,y,y,y,y,y,y,y,,y,y,,y,y,y,,,,,y,y,,cosmop,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Nacerdes,"Dejean, 1834",Xanthochroa,"W. L. E. Schmidt, 1844",carniolica,"(Gistel, 1832)",carniolica,"(Gistel, 1832)",Nacerdes (Xanthochroa) carniolica subsp. carniolica,,,,y,y,,,,,,,,,,,,,y,y,y,y,y,y,y,y,y,,,,,,,,y,,,Y,y,,,1.10,"In the previous version of the Checklist the genus description date (1846) was incorrect according to Švihla (2008. In: Lobl & Smetana. Catalogue of Palaearctic Coleoptera, vol. 5. Apollo Books, Stenstrup, 353-359)",
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Nacerdes,"Dejean, 1834",Xanthochroa,"W. L. E. Schmidt, 1844",carniolica,"(Gistel, 1832)",peloponesiaca,"Švihla, 1991",Nacerdes (Xanthochroa) carniolica subsp. peloponesica,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,1.10,,"New to Italian fauna according to Poloni ( 2019. Boll. Soc. Entomol. Ital., 151 (2): 60-63)"
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Nacerdes,"Dejean, 1834",Xanthochroa,"W. L. E. Schmidt, 1844",gracilis,"(W. L. E. Schmidt, 1846)",gracilis,"(W. L. E. Schmidt, 1846)",Nacerdes (Xanthochroa) gracilis subsp. gracilis,,,,y,y,,,,,,,,,,,,,y,,y,,,y,,y,,,,,,,,,,,,Y,,,,?,,"in the previous version of the checklist not present in S (http://www.entomologiitaliani.net/public/forum/phpBB3/viewtopic.php?f=180&t=86343 accessed january 20, 2020; Svihla, unpublished record)"
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Nacerdes,"Dejean, 1834",Xanthochroa,"W. L. E. Schmidt, 1844",gracilis,"(W. L. E. Schmidt, 1846)",bellieri,"(Reiche, 1861)",Nacerdes (Xanthochroa) gracilis subsp. bellieri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Anogcodes,"Dejean, 1834",,,fulvicollis,"(Scopoli, 1763)",,,Anogcodes fulvicollis,,,,y,,,,,,,,,,,,,,y,,y,y,y,,,,,,,,,,,,,,,,,,,1.10,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Anogcodes,"Dejean, 1834",,,melanurus,"(Fabricius, 1787)",,,Anogcodes ustulatus,,,,y,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,1.05,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Nacerdinae,Anogcodes,"Dejean, 1834",,,ruficollis,"(Fabricius, 1781)",,,Anogcodes ruficollis,,,,y,y,y,y,,,,,,,,,,,y,y,y,y,y,y,y,y,y,,y,y,,y,,y,y,,,Y,y,,,1.10?,,
